,Artist Name,Lead Streams,Feats,Tracks,One Billion,100 Million,Last Updated
595,Carlos Rivera,2291,507,210,0,5,31.07.22
744,Niska,1879,617,105,0,1,31.07.22
870,Ferrugem,1630,316,171,0,1,31.07.22
647,Kontra K,2103,219,301,0,1,31.07.22
774,The Jackson 5,1814,2,347,0,5,24.08.22
555,Keith Urban,2416,380,205,0,6,21.08.22
692,Jessie Reyez,1982,512,73,0,4,16.09.22
375,Calum Scott,3392,,84,0,6,31.07.22
923,Timbaland,1538,2172,156,0,5,09.08.22
998,Central Cee,1428,8,49,0,5,20.09.22
114,Frank Ocean,7842,2342,45,0,23,19.09.22
542,Samra,2461,403,120,0,3,19.09.22
118,Tiësto,7713,760,653,0,16,21.08.22
508,Rod Wave,2598,72,136,0,3,08.09.22
390,Ski Mask The Slump God,3276,302,73,0,7,19.09.22
525,The xx,2542,10,77,0,5,31.07.22
907,Joaquín Sabina,1554,130,348,0,0,31.07.22
847,Kollegah,1676,109,569,0,0,07.08.22
629,Lord Huron,2147,,76,1,3,31.07.22
372,Mark Ronson,3400,98,151,1,4,31.07.22
851,Juicy J,1666,3759,450,0,2,31.07.22
664,Martin Jensen,2063,304,79,0,4,31.07.22
981,D-Block Europe,1448,94,150,0,0,22.08.22
669,Duran Duran,2052,,483,0,5,09.08.22
186,Playboi Carti,5756,1679,82,0,14,17.09.22
824,MAGIC!,1721,146,53,1,2,31.07.22
917,Falling In Reverse,1544,,65,0,2,31.07.22
619,RAYE,2192,575,95,0,4,31.07.22
860,Tina Turner,1649,24,253,0,6,24.08.22
750,Ella Fitzgerald,1865,12,2120,0,2,09.08.22
828,Dido,1718,5,195,0,4,31.07.22
57,Farruko,11983,6531,343,1,31,31.07.22
163,2Pac,6328,345,316,0,16,06.09.22
121,Zedd,7585,1008,139,3,14,21.08.22
577,Eladio Carrion,2339,404,147,0,4,13.09.22
355,Lin-Manuel Miranda,3592,,95,0,14,31.07.22
295,Kelly Clarkson,4206,231,329,0,8,20.09.22
196,Radiohead,5531,2,233,0,8,18.09.22
792,Tears For Fears,1785,2,219,0,4,20.09.22
263,Chance the Rapper,4517,3118,105,0,12,05.09.22
59,Camila Cabello,11822,2188,61,2,24,19.09.22
761,Old Dominion,1846,5,85,0,7,09.08.22
868,Benjamin Blümchen,1632,,6109,0,0,31.07.22
712,Alex Rose,1949,537,82,0,4,31.07.22
142,Zara Larsson,6878,510,85,2,13,13.09.22
373,CNCO,3399,102,89,0,7,19.09.22
1009,Beck,1420,83,300,0,1,17.08.22
502,Christina Perri,2646,63,103,1,3,13.08.22
846,Nina Simone,1682,25,551,0,3,05.08.22
429,Lil Yachty,3023,,190,0,6,31.07.22
